dt_ps,MSD_A2,SEM
5.700000000000000000e+03,1.018676398460153564e+03,3.216136462643691463e+00
5.720000000000000000e+03,1.019996903824827996e+03,3.223929778070670604e+00
5.740000000000000000e+03,1.018259693550610791e+03,3.221450845702908961e+00
5.760000000000000000e+03,1.024504952356753392e+03,3.236164780822408993e+00
5.780000000000000000e+03,1.024468931342751375e+03,3.261152057943069060e+00
5.800000000000000000e+03,1.022828345038680368e+03,3.258138624341425427e+00
5.820000000000000000e+03,1.023548170229650054e+03,3.263631814731218217e+00
5.840000000000000000e+03,1.021809512880564967e+03,3.254828414128914993e+00
5.860000000000000000e+03,1.019444367155379837e+03,3.265960232057874002e+00
5.880000000000000000e+03,1.025393823806850833e+03,3.286798684932600079e+00
5.900000000000000000e+03,1.017012546626487733e+03,3.295323734484722600e+00
5.920000000000000000e+03,1.019453044013347721e+03,3.305394421627616097e+00
5.940000000000000000e+03,1.020152804872045635e+03,3.306905611812489987e+00
5.960000000000000000e+03,1.013169767718685307e+03,3.328699792154277581e+00
5.980000000000000000e+03,1.015179454636963328e+03,3.342856513701816912e+00
6.000000000000000000e+03,1.015209617948364667e+03,3.348523609718153438e+00
6.020000000000000000e+03,1.015566369375256954e+03,3.348845327700130881e+00
6.040000000000000000e+03,1.012844301201726466e+03,3.346470214131420207e+00
6.060000000000000000e+03,1.015721972353506885e+03,3.347895339390291713e+00
6.080000000000000000e+03,1.020061301647852133e+03,3.373896879806941307e+00
6.100000000000000000e+03,1.019868960145597612e+03,3.377129124800103188e+00
6.120000000000000000e+03,1.016639339152555181e+03,3.394751894336386133e+00
6.140000000000000000e+03,1.018031920613171110e+03,3.382267328462744249e+00
6.160000000000000000e+03,1.022053628971291573e+03,3.411299720158892601e+00
6.180000000000000000e+03,1.018855708807163978e+03,3.432560595211566312e+00
6.200000000000000000e+03,1.018842572575880467e+03,3.444610061635422049e+00
6.220000000000000000e+03,1.016321375719833895e+03,3.426246283343689747e+00
6.240000000000000000e+03,1.013273547622201136e+03,3.444332196535257573e+00
6.260000000000000000e+03,1.017036616899434648e+03,3.447120228264586306e+00
6.280000000000000000e+03,1.011329504570314384e+03,3.449047920088707642e+00
6.300000000000000000e+03,1.016560212093592668e+03,3.475580573027788223e+00
6.320000000000000000e+03,1.020057180884343438e+03,3.490903094515345639e+00
6.340000000000000000e+03,1.019618312436448491e+03,3.509367741705657906e+00
6.360000000000000000e+03,1.021534683684266270e+03,3.493317887349987494e+00
6.380000000000000000e+03,1.019431162349337455e+03,3.507052008714911295e+00
6.400000000000000000e+03,1.016060920488333863e+03,3.524073623942248101e+00
6.420000000000000000e+03,1.019737819509262067e+03,3.525517238104370232e+00
6.440000000000000000e+03,1.017469241433284083e+03,3.540390693759622565e+00
6.460000000000000000e+03,1.019352987435571436e+03,3.557936364285337216e+00
6.480000000000000000e+03,1.019613628180551132e+03,3.565614709669115090e+00
6.500000000000000000e+03,1.019348617964860637e+03,3.570174283460513021e+00
6.520000000000000000e+03,1.022552342766264019e+03,3.600317603661680188e+00
6.540000000000000000e+03,1.019343430716775060e+03,3.584860110615948336e+00
6.560000000000000000e+03,1.021015144526788276e+03,3.592078891093355875e+00
6.580000000000000000e+03,1.021197238976544554e+03,3.622838407384187942e+00
6.600000000000000000e+03,1.022613997274872986e+03,3.621459399226869547e+00
6.620000000000000000e+03,1.022952571283614134e+03,3.624483924462828188e+00
6.640000000000000000e+03,1.014223845065757473e+03,3.628612563100429345e+00
6.660000000000000000e+03,1.013204116550956087e+03,3.649725470636298486e+00
6.680000000000000000e+03,1.019110247674678817e+03,3.663580068928435018e+00
6.700000000000000000e+03,1.021416618731122526e+03,3.681972566582144779e+00
6.720000000000000000e+03,1.019965245692442750e+03,3.689221448562354233e+00
6.740000000000000000e+03,1.012154403386773083e+03,3.690271136386756190e+00
6.760000000000000000e+03,1.014355275479151715e+03,3.709682344148126365e+00
6.780000000000000000e+03,1.017339849867716794e+03,3.726755819345378917e+00
6.800000000000000000e+03,1.020800943441219488e+03,3.719444584087764127e+00
6.820000000000000000e+03,1.015526226177700551e+03,3.736828333344361042e+00
6.840000000000000000e+03,1.014621145525967904e+03,3.763478241710309202e+00
6.860000000000000000e+03,1.014699048860842481e+03,3.753783616286838321e+00
6.880000000000000000e+03,1.015423304906917224e+03,3.777643938102281052e+00
6.900000000000000000e+03,1.012554732995298991e+03,3.772779866910172863e+00
6.920000000000000000e+03,1.017288725723789184e+03,3.800641658829902791e+00
6.940000000000000000e+03,1.014894101786610463e+03,3.828089456566832638e+00
6.960000000000000000e+03,1.017370368269741562e+03,3.853099286741383800e+00
6.980000000000000000e+03,1.016845571163667728e+03,3.830017660864751150e+00
7.000000000000000000e+03,1.014687299854875619e+03,3.839686415636614836e+00
7.020000000000000000e+03,1.015881238347411113e+03,3.862007920797487337e+00
7.040000000000000000e+03,1.012361796186228503e+03,3.876626099048447127e+00
7.060000000000000000e+03,1.007744660798634982e+03,3.881603908512381462e+00
7.080000000000000000e+03,1.014097211192330064e+03,3.898101480036879174e+00
7.100000000000000000e+03,1.018209107879485032e+03,3.926538694077759573e+00
7.120000000000000000e+03,1.022260907943656093e+03,3.936058645214495222e+00
7.140000000000000000e+03,1.022464485278558755e+03,3.940868690501926785e+00
7.160000000000000000e+03,1.022722602191101601e+03,3.937917650129072022e+00
7.180000000000000000e+03,1.019015442485399376e+03,3.976958828819956882e+00
7.200000000000000000e+03,1.019390625496620487e+03,3.968366310732941216e+00
7.220000000000000000e+03,1.016128148809333538e+03,3.988307106471661534e+00
7.240000000000000000e+03,1.017516760103437605e+03,3.994237155780556936e+00
7.260000000000000000e+03,1.022149363226291143e+03,4.014279999127420950e+00
7.280000000000000000e+03,1.021156666245807514e+03,4.036737549122929813e+00
7.300000000000000000e+03,1.015640444291145968e+03,4.036978537502038833e+00
7.320000000000000000e+03,1.016010339753409198e+03,4.083661977881598126e+00
7.340000000000000000e+03,1.021220873050261048e+03,4.100354260852014932e+00
7.360000000000000000e+03,1.011657175620021121e+03,4.080943479335094715e+00
7.380000000000000000e+03,1.012868654603492814e+03,4.110483968133937793e+00
7.400000000000000000e+03,1.021404805999228643e+03,4.140046837888087694e+00
7.420000000000000000e+03,1.018386287028345123e+03,4.147922156260888116e+00
7.440000000000000000e+03,1.017557742225379002e+03,4.152910662138027398e+00
7.460000000000000000e+03,1.015337119702589462e+03,4.183807476184758123e+00
7.480000000000000000e+03,1.020101483612585866e+03,4.206474217393192383e+00
7.500000000000000000e+03,1.014841298373371615e+03,4.219655020365259190e+00
7.520000000000000000e+03,1.012307469007146778e+03,4.220846954927550243e+00
7.540000000000000000e+03,1.013943178614611725e+03,4.215515178293141041e+00
7.560000000000000000e+03,1.012305151631477884e+03,4.251146566090109324e+00
7.580000000000000000e+03,1.020670747032100280e+03,4.277841267869578523e+00
7.600000000000000000e+03,1.020119135769930153e+03,4.306402157850405032e+00
7.620000000000000000e+03,1.017794383275579435e+03,4.336819180100881965e+00
7.640000000000000000e+03,1.009376393859871541e+03,4.288015006055906575e+00
7.660000000000000000e+03,1.008152356024480355e+03,4.332256797319283592e+00
7.680000000000000000e+03,1.011576117245466435e+03,4.348653856926176786e+00
7.700000000000000000e+03,1.013439608580849495e+03,4.357093960703734226e+00
7.720000000000000000e+03,1.012951943684138769e+03,4.391355724269224048e+00
